D:\python\Python39\python3.exe C:\Users\86136\Desktop\article\transformer-python\classification\微调.py 
Epoch 28 / 100, Testing: Sensitivity: 0.9126442727360901, Specificity: 0.9916693210496655, Train Acc: 0.9757, Test Acc: 0.9731, AUROC: 0.9472, AUPC: -0.9414, F1 Score: 0.9309, Recall: 0.9040
Epoch 29 / 100, Testing: Sensitivity: 0.9166208657980667, Specificity: 0.9910731057914554, Train Acc: 0.9761, Test Acc: 0.9736, AUROC: 0.9489, AUPC: -0.9422, F1 Score: 0.9323, Recall: 0.9077
Epoch 30 / 100, Testing: Sensitivity: 0.9151013546280431, Specificity: 0.9916529863850571, Train Acc: 0.9762, Test Acc: 0.9738, AUROC: 0.9485, AUPC: -0.9428, F1 Score: 0.9327, Recall: 0.9064
Epoch 31 / 100, Testing: Sensitivity: 0.9167501858976431, Specificity: 0.9917101577111868, Train Acc: 0.9766, Test Acc: 0.9741, AUROC: 0.9491, AUPC: -0.9436, F1 Score: 0.9335, Recall: 0.9072
Epoch 32 / 100, Testing: Sensitivity: 0.9166531958229608, Specificity: 0.9917591617050123, Train Acc: 0.9766, Test Acc: 0.9744, AUROC: 0.9496, AUPC: -0.9441, F1 Score: 0.9342, Recall: 0.9083
Epoch 33 / 100, Testing: Sensitivity: 0.9220846400051728, Specificity: 0.9909015918130661, Train Acc: 0.9770, Test Acc: 0.9745, AUROC: 0.9511, AUPC: -0.9440, F1 Score: 0.9346, Recall: 0.9122
Epoch 34 / 100, Testing: Sensitivity: 0.9211147392583492, Specificity: 0.9914079664159295, Train Acc: 0.9772, Test Acc: 0.9750, AUROC: 0.9512, AUPC: -0.9454, F1 Score: 0.9359, Recall: 0.9114
Epoch 35 / 100, Testing: Sensitivity: 0.9243800717726552, Specificity: 0.9910976077883681, Train Acc: 0.9776, Test Acc: 0.9754, AUROC: 0.9530, AUPC: -0.9462, F1 Score: 0.9372, Recall: 0.9156
Epoch 36 / 100, Testing: Sensitivity: 0.9231192008017847, Specificity: 0.9913099584282786, Train Acc: 0.9776, Test Acc: 0.9752, AUROC: 0.9523, AUPC: -0.9458, F1 Score: 0.9366, Recall: 0.9141
Epoch 37 / 100, Testing: Sensitivity: 0.927289774013126, Specificity: 0.9906157351824174, Train Acc: 0.9778, Test Acc: 0.9757, AUROC: 0.9546, AUPC: -0.9467, F1 Score: 0.9382, Recall: 0.9194
Epoch 38 / 100, Testing: Sensitivity: 0.9281303546603731, Specificity: 0.9903625478809857, Train Acc: 0.9778, Test Acc: 0.9757, AUROC: 0.9547, AUPC: -0.9466, F1 Score: 0.9382, Recall: 0.9196
Epoch 39 / 100, Testing: Sensitivity: 0.9277423943616436, Specificity: 0.9906402371793301, Train Acc: 0.9780, Test Acc: 0.9759, AUROC: 0.9548, AUPC: -0.9470, F1 Score: 0.9386, Recall: 0.9196
Epoch 40 / 100, Testing: Sensitivity: 0.9275807442371731, Specificity: 0.9907545798315897, Train Acc: 0.9780, Test Acc: 0.9760, AUROC: 0.9548, AUPC: -0.9473, F1 Score: 0.9388, Recall: 0.9194
Epoch 41 / 100, Testing: Sensitivity: 0.9255439526688436, Specificity: 0.99129362376367, Train Acc: 0.9780, Test Acc: 0.9759, AUROC: 0.9540, AUPC: -0.9472, F1 Score: 0.9385, Recall: 0.9174
Epoch 42 / 100, Testing: Sensitivity: 0.9269018137143965, Specificity: 0.9911466117821935, Train Acc: 0.9782, Test Acc: 0.9761, AUROC: 0.9547, AUPC: -0.9477, F1 Score: 0.9391, Recall: 0.9189
Epoch 43 / 100, Testing: Sensitivity: 0.9293265655814555, Specificity: 0.9905585638562876, Train Acc: 0.9782, Test Acc: 0.9766, AUROC: 0.9560, AUPC: -0.9486, F1 Score: 0.9404, Recall: 0.9217
Epoch 44 / 100, Testing: Sensitivity: 0.9288092851831495, Specificity: 0.9907790818285024, Train Acc: 0.9783, Test Acc: 0.9762, AUROC: 0.9553, AUPC: -0.9478, F1 Score: 0.9394, Recall: 0.9203
Epoch 45 / 100, Testing: Sensitivity: 0.9279687045359025, Specificity: 0.9912772890990615, Train Acc: 0.9785, Test Acc: 0.9763, AUROC: 0.9551, AUPC: -0.9481, F1 Score: 0.9396, Recall: 0.9196
Epoch 46 / 100, Testing: Sensitivity: 0.9296821958552908, Specificity: 0.9904605558686366, Train Acc: 0.9782, Test Acc: 0.9763, AUROC: 0.9560, AUPC: -0.9478, F1 Score: 0.9397, Recall: 0.9221
Epoch 47 / 100, Testing: Sensitivity: 0.9299731660793379, Specificity: 0.9906075678501132, Train Acc: 0.9784, Test Acc: 0.9766, AUROC: 0.9564, AUPC: -0.9486, F1 Score: 0.9405, Recall: 0.9227
Epoch 48 / 100, Testing: Sensitivity: 0.9308784067763732, Specificity: 0.9905013925301579, Train Acc: 0.9785, Test Acc: 0.9766, AUROC: 0.9565, AUPC: -0.9486, F1 Score: 0.9406, Recall: 0.9230
Epoch 49 / 100, Testing: Sensitivity: 0.9284859849342084, Specificity: 0.9913834644190168, Train Acc: 0.9787, Test Acc: 0.9766, AUROC: 0.9554, AUPC: -0.9487, F1 Score: 0.9402, Recall: 0.9202
Epoch 50 / 100, Testing: Sensitivity: 0.9319452975978791, Specificity: 0.9905830658532003, Train Acc: 0.9788, Test Acc: 0.9767, AUROC: 0.9571, AUPC: -0.9487, F1 Score: 0.9409, Recall: 0.9244
Epoch 51 / 100, Testing: Sensitivity: 0.9308460767514791, Specificity: 0.9909587631391958, Train Acc: 0.9788, Test Acc: 0.9770, AUROC: 0.9567, AUPC: -0.9494, F1 Score: 0.9413, Recall: 0.9228
Epoch 52 / 100, Testing: Sensitivity: 0.931654327373832, Specificity: 0.9909015918130661, Train Acc: 0.9790, Test Acc: 0.9769, AUROC: 0.9571, AUPC: -0.9492, F1 Score: 0.9413, Recall: 0.9239
Epoch 53 / 100, Testing: Sensitivity: 0.931654327373832, Specificity: 0.9911221097852808, Train Acc: 0.9791, Test Acc: 0.9772, AUROC: 0.9572, AUPC: -0.9499, F1 Score: 0.9419, Recall: 0.9239
Epoch 54 / 100, Testing: Sensitivity: 0.9308784067763732, Specificity: 0.9915794803943188, Train Acc: 0.9793, Test Acc: 0.9773, AUROC: 0.9568, AUPC: -0.9503, F1 Score: 0.9421, Recall: 0.9225
Epoch 55 / 100, Testing: Sensitivity: 0.9327535482202322, Specificity: 0.9911711137791064, Train Acc: 0.9794, Test Acc: 0.9772, AUROC: 0.9574, AUPC: -0.9500, F1 Score: 0.9420, Recall: 0.9243
Epoch 56 / 100, Testing: Sensitivity: 0.9355985904109146, Specificity: 0.9906075678501132, Train Acc: 0.9795, Test Acc: 0.9775, AUROC: 0.9590, AUPC: -0.9504, F1 Score: 0.9429, Recall: 0.9280
Epoch 57 / 100, Testing: Sensitivity: 0.9369564514564677, Specificity: 0.9905177271947664, Train Acc: 0.9797, Test Acc: 0.9775, AUROC: 0.9593, AUPC: -0.9502, F1 Score: 0.9429, Recall: 0.9290
Epoch 58 / 100, Testing: Sensitivity: 0.9331091784940675, Specificity: 0.9917509943727081, Train Acc: 0.9799, Test Acc: 0.9777, AUROC: 0.9578, AUPC: -0.9511, F1 Score: 0.9432, Recall: 0.9247
Epoch 59 / 100, Testing: Sensitivity: 0.9354046102615499, Specificity: 0.9913017910959743, Train Acc: 0.9800, Test Acc: 0.9778, AUROC: 0.9589, AUPC: -0.9513, F1 Score: 0.9437, Recall: 0.9274
Epoch 60 / 100, Testing: Sensitivity: 0.9345316995894087, Specificity: 0.9917428270404038, Train Acc: 0.9802, Test Acc: 0.9783, AUROC: 0.9590, AUPC: -0.9524, F1 Score: 0.9447, Recall: 0.9269
Epoch 61 / 100, Testing: Sensitivity: 0.9331091784940675, Specificity: 0.9919878470095312, Train Acc: 0.9801, Test Acc: 0.9782, AUROC: 0.9583, AUPC: -0.9523, F1 Score: 0.9444, Recall: 0.9251
Epoch 62 / 100, Testing: Sensitivity: 0.9368271313568911, Specificity: 0.9911956157760191, Train Acc: 0.9802, Test Acc: 0.9783, AUROC: 0.9600, AUPC: -0.9523, F1 Score: 0.9450, Recall: 0.9294
Epoch 63 / 100, Testing: Sensitivity: 0.9360188807345382, Specificity: 0.9915141417358848, Train Acc: 0.9803, Test Acc: 0.9784, AUROC: 0.9600, AUPC: -0.9526, F1 Score: 0.9452, Recall: 0.9292
Epoch 64 / 100, Testing: Sensitivity: 0.9379586822281853, Specificity: 0.9913834644190168, Train Acc: 0.9806, Test Acc: 0.9785, AUROC: 0.9608, AUPC: -0.9526, F1 Score: 0.9455, Recall: 0.9313
Epoch 65 / 100, Testing: Sensitivity: 0.9378940221783971, Specificity: 0.9914651377420594, Train Acc: 0.9807, Test Acc: 0.9789, AUROC: 0.9611, AUPC: -0.9535, F1 Score: 0.9464, Recall: 0.9315
Epoch 66 / 100, Testing: Sensitivity: 0.9376677120041382, Specificity: 0.991849002360359, Train Acc: 0.9809, Test Acc: 0.9791, AUROC: 0.9610, AUPC: -0.9540, F1 Score: 0.9468, Recall: 0.9308
Epoch 67 / 100, Testing: Sensitivity: 0.9394781933982089, Specificity: 0.9915958150589274, Train Acc: 0.9811, Test Acc: 0.9792, AUROC: 0.9619, AUPC: -0.9541, F1 Score: 0.9472, Recall: 0.9332
Epoch 68 / 100, Testing: Sensitivity: 0.9385729527011736, Specificity: 0.9918408350280548, Train Acc: 0.9811, Test Acc: 0.9794, AUROC: 0.9618, AUPC: -0.9548, F1 Score: 0.9478, Recall: 0.9324
Epoch 69 / 100, Testing: Sensitivity: 0.9411593546927031, Specificity: 0.9915468110651018, Train Acc: 0.9814, Test Acc: 0.9797, AUROC: 0.9629, AUPC: -0.9553, F1 Score: 0.9486, Recall: 0.9350
Epoch 70 / 100, Testing: Sensitivity: 0.9425172157382561, Specificity: 0.9913997990836253, Train Acc: 0.9815, Test Acc: 0.9798, AUROC: 0.9636, AUPC: -0.9554, F1 Score: 0.9489, Recall: 0.9366
Epoch 71 / 100, Testing: Sensitivity: 0.9407067343441854, Specificity: 0.9923635442955268, Train Acc: 0.9819, Test Acc: 0.9800, AUROC: 0.9629, AUPC: -0.9561, F1 Score: 0.9493, Recall: 0.9343
Epoch 72 / 100, Testing: Sensitivity: 0.9499854514887976, Specificity: 0.9902237032318134, Train Acc: 0.9821, Test Acc: 0.9803, AUROC: 0.9666, AUPC: -0.9562, F1 Score: 0.9505, Recall: 0.9436
Epoch 73 / 100, Testing: Sensitivity: 0.9469464291487505, Specificity: 0.9912119504406276, Train Acc: 0.9823, Test Acc: 0.9806, AUROC: 0.9659, AUPC: -0.9570, F1 Score: 0.9511, Recall: 0.9415
Epoch 74 / 100, Testing: Sensitivity: 0.9451359477546798, Specificity: 0.9917754963696208, Train Acc: 0.9824, Test Acc: 0.9805, AUROC: 0.9646, AUPC: -0.9569, F1 Score: 0.9505, Recall: 0.9381
Epoch 75 / 100, Testing: Sensitivity: 0.9499207914390094, Specificity: 0.9909587631391958, Train Acc: 0.9827, Test Acc: 0.9808, AUROC: 0.9667, AUPC: -0.9573, F1 Score: 0.9515, Recall: 0.9432
Epoch 76 / 100, Testing: Sensitivity: 0.9499854514887976, Specificity: 0.9910812731237596, Train Acc: 0.9828, Test Acc: 0.9812, AUROC: 0.9672, AUPC: -0.9583, F1 Score: 0.9526, Recall: 0.9438
Epoch 77 / 100, Testing: Sensitivity: 0.9469787591736446, Specificity: 0.9919061736864888, Train Acc: 0.9828, Test Acc: 0.9813, AUROC: 0.9663, AUPC: -0.9588, F1 Score: 0.9528, Recall: 0.9411
Epoch 78 / 100, Testing: Sensitivity: 0.9510846723351977, Specificity: 0.9910159344653255, Train Acc: 0.9830, Test Acc: 0.9814, AUROC: 0.9678, AUPC: -0.9587, F1 Score: 0.9532, Recall: 0.9452
Epoch 79 / 100, Testing: Sensitivity: 0.9476576896964211, Specificity: 0.9918326676957505, Train Acc: 0.9829, Test Acc: 0.9814, AUROC: 0.9664, AUPC: -0.9590, F1 Score: 0.9530, Recall: 0.9413
Epoch 80 / 100, Testing: Sensitivity: 0.9499854514887976, Specificity: 0.9917836637019251, Train Acc: 0.9834, Test Acc: 0.9816, AUROC: 0.9670, AUPC: -0.9594, F1 Score: 0.9535, Recall: 0.9427
Epoch 81 / 100, Testing: Sensitivity: 0.9523455433060684, Specificity: 0.9914569704097551, Train Acc: 0.9836, Test Acc: 0.9817, AUROC: 0.9684, AUPC: -0.9595, F1 Score: 0.9540, Recall: 0.9461
Epoch 82 / 100, Testing: Sensitivity: 0.9539620445507743, Specificity: 0.9909914324684128, Train Acc: 0.9835, Test Acc: 0.9821, AUROC: 0.9693, AUPC: -0.9601, F1 Score: 0.9549, Recall: 0.9480
Epoch 83 / 100, Testing: Sensitivity: 0.9517636028579742, Specificity: 0.9918980063541846, Train Acc: 0.9838, Test Acc: 0.9821, AUROC: 0.9682, AUPC: -0.9604, F1 Score: 0.9548, Recall: 0.9449
Epoch 84 / 100, Testing: Sensitivity: 0.9516019527335036, Specificity: 0.9919225083510973, Train Acc: 0.9838, Test Acc: 0.9820, AUROC: 0.9679, AUPC: -0.9603, F1 Score: 0.9546, Recall: 0.9445
Epoch 85 / 100, Testing: Sensitivity: 0.9498561313892212, Specificity: 0.992535058273916, Train Acc: 0.9839, Test Acc: 0.9823, AUROC: 0.9679, AUPC: -0.9611, F1 Score: 0.9553, Recall: 0.9438
Epoch 86 / 100, Testing: Sensitivity: 0.958229607836798, Specificity: 0.9906239025147217, Train Acc: 0.9841, Test Acc: 0.9824, AUROC: 0.9711, AUPC: -0.9608, F1 Score: 0.9560, Recall: 0.9521
Epoch 87 / 100, Testing: Sensitivity: 0.9545116549739743, Specificity: 0.9919633450126185, Train Acc: 0.9844, Test Acc: 0.9828, AUROC: 0.9699, AUPC: -0.9619, F1 Score: 0.9567, Recall: 0.9483
Epoch 88 / 100, Testing: Sensitivity: 0.9563867964178332, Specificity: 0.991587647726623, Train Acc: 0.9845, Test Acc: 0.9827, AUROC: 0.9704, AUPC: -0.9616, F1 Score: 0.9565, Recall: 0.9498
Epoch 89 / 100, Testing: Sensitivity: 0.9562251462933626, Specificity: 0.991685655714274, Train Acc: 0.9845, Test Acc: 0.9830, AUROC: 0.9709, AUPC: -0.9623, F1 Score: 0.9573, Recall: 0.9507
Epoch 90 / 100, Testing: Sensitivity: 0.9570010668908215, Specificity: 0.9916366517204486, Train Acc: 0.9847, Test Acc: 0.9829, AUROC: 0.9709, AUPC: -0.9621, F1 Score: 0.9571, Recall: 0.9508
Epoch 91 / 100, Testing: Sensitivity: 0.957130386990398, Specificity: 0.9917428270404038, Train Acc: 0.9848, Test Acc: 0.9831, AUROC: 0.9711, AUPC: -0.9626, F1 Score: 0.9576, Recall: 0.9511
Epoch 92 / 100, Testing: Sensitivity: 0.9580679577123274, Specificity: 0.9917019903788825, Train Acc: 0.9849, Test Acc: 0.9833, AUROC: 0.9716, AUPC: -0.9628, F1 Score: 0.9580, Recall: 0.9521
Epoch 93 / 100, Testing: Sensitivity: 0.9578739775629628, Specificity: 0.9918408350280548, Train Acc: 0.9850, Test Acc: 0.9834, AUROC: 0.9715, AUPC: -0.9630, F1 Score: 0.9582, Recall: 0.9516
Epoch 94 / 100, Testing: Sensitivity: 0.960137079305551, Specificity: 0.9914079664159295, Train Acc: 0.9851, Test Acc: 0.9834, AUROC: 0.9724, AUPC: -0.9629, F1 Score: 0.9583, Recall: 0.9540
Epoch 95 / 100, Testing: Sensitivity: 0.9563544663929391, Specificity: 0.992339042298614, Train Acc: 0.9851, Test Acc: 0.9835, AUROC: 0.9710, AUPC: -0.9634, F1 Score: 0.9584, Recall: 0.9503
Epoch 96 / 100, Testing: Sensitivity: 0.9599107691312923, Specificity: 0.992045018335661, Train Acc: 0.9856, Test Acc: 0.9838, AUROC: 0.9723, AUPC: -0.9640, F1 Score: 0.9593, Recall: 0.9531
Epoch 97 / 100, Testing: Sensitivity: 0.9594581487827746, Specificity: 0.991849002360359, Train Acc: 0.9853, Test Acc: 0.9836, AUROC: 0.9720, AUPC: -0.9635, F1 Score: 0.9587, Recall: 0.9527
Epoch 98 / 100, Testing: Sensitivity: 0.9580356276874333, Specificity: 0.992404380957048, Train Acc: 0.9855, Test Acc: 0.9836, AUROC: 0.9714, AUPC: -0.9636, F1 Score: 0.9587, Recall: 0.9511
Epoch 99 / 100, Testing: Sensitivity: 0.9578416475380686, Specificity: 0.9927800782430435, Train Acc: 0.9857, Test Acc: 0.9838, AUROC: 0.9714, AUPC: -0.9642, F1 Score: 0.9592, Recall: 0.9508
Epoch 100 / 100, Testing: Sensitivity: 0.9621415408489864, Specificity: 0.9918408350280548, Train Acc: 0.9859, Test Acc: 0.9841, AUROC: 0.9735, AUPC: -0.9645, F1 Score: 0.9600, Recall: 0.9558
